,gemini,claude,gpt
0,16000.0,17050.0,15500.0
1,16000.0,17050.0,15750.0
2,16000.0,16850.0,16000.0
3,16000.0,17100.0,16000.0
4,15500.0,16500.0,16000.0
5,16000.0,16350.0,15800.0
6,16000.0,15700.0,16000.0
7,15650.0,17100.0,16000.0
8,16000.0,16900.0,16000.0
9,16000.0,17200.0,16000.0
10,16000.0,16050.0,16000.0
11,16000.0,16900.0,16000.0
12,16050.0,17000.0,16000.0
13,16050.0,16250.0,16500.0
14,17000.0,16350.0,16200.0
15,16250.0,16900.0,15400.0
16,16800.0,16900.0,15500.0
17,16500.0,17500.0,15000.0
18,16050.0,16900.0,15750.0
19,16000.0,16900.0,16250.0
20,16000.0,17000.0,16500.0
21,16050.0,17150.0,15000.0
22,16875.0,17000.0,15800.0
23,15800.0,17100.0,15500.0
24,16200.0,16900.0,16000.0
25,16250.0,17000.0,16250.0
26,15900.0,17000.0,16250.0
27,16000.0,16800.0,16500.0
28,16000.0,16000.0,15500.0
29,16000.0,16500.0,16000.0
30,16000.0,16900.0,16000.0
31,16000.0,17000.0,15500.0
32,16000.0,17500.0,16000.0
33,15850.0,17300.0,16000.0
34,16000.0,17200.0,16250.0
35,15800.0,16750.0,16000.0
36,16000.0,17000.0,16100.0
37,15900.0,17000.0,16000.0
38,16400.0,16500.0,16000.0
39,16000.0,16950.0,16500.0
