run,rounds_completed,termination_reason,final_price,input_tokens,output_tokens,cost_usd
1,3,agreement,16200.0,6592,2095,0.017067
2,3,agreement,16950.0,6767,2113,0.017332
3,3,agreement,17250.0,6411,2075,0.016786000000000002
4,4,agreement,16350.0,10495,2827,0.02463
5,4,agreement,17350.0,10138,2783,0.024053
6,4,agreement,17500.0,9585,2679,0.02298
7,3,agreement,16950.0,6897,2179,0.017792000000000002
8,4,agreement,16950.0,9942,2748,0.023682
9,3,agreement,16900.0,7254,2262,0.018564
10,3,agreement,16950.0,6378,2037,0.016563
11,3,agreement,17000.0,6827,2117,0.017412
12,4,agreement,16950.0,10019,2690,0.023469
13,3,agreement,16900.0,6429,2002,0.016439000000000002
14,4,agreement,17250.0,9901,2622,0.023011
15,3,agreement,16900.0,6607,2081,0.017012
16,3,agreement,16900.0,6622,2075,0.016997
17,3,agreement,16750.0,6345,2005,0.01637
18,3,agreement,16100.0,6578,2087,0.017013
19,3,agreement,16800.0,6231,1928,0.015871
20,4,agreement,16100.0,11301,2979,0.026196
21,4,agreement,16500.0,9778,2651,0.023032999999999998
22,3,agreement,16950.0,6718,2138,0.017408
23,4,agreement,17500.0,10257,2739,0.023952
24,4,agreement,16900.0,9751,2737,0.023436
25,4,agreement,17100.0,10050,2712,0.023610000000000003
26,3,agreement,17000.0,6386,2016,0.016466
27,3,agreement,17000.0,6457,2021,0.016562
28,4,agreement,17000.0,10150,2777,0.024034999999999997
29,3,agreement,16500.0,7237,2175,0.018112
30,4,agreement,17100.0,9615,2580,0.022515
31,3,agreement,16000.0,6683,2143,0.017398
32,3,agreement,16950.0,6146,1923,0.015761
33,3,agreement,17350.0,6630,2044,0.016849999999999997
34,3,agreement,17250.0,6725,2067,0.017060000000000002
35,4,agreement,17100.0,10072,2775,0.023947000000000003
36,4,agreement,16000.0,10606,2810,0.024656
37,3,agreement,16650.0,6025,1990,0.015975
38,3,agreement,16900.0,6568,2102,0.017078
39,3,agreement,16900.0,6416,1997,0.016401000000000002
40,3,agreement,16850.0,6167,1980,0.016066999999999998
